"FundID","MasterFundCode","FullName","FundCompanyID","FundCompanyName","ManagementFee","CustodianFee","InceptionDate","InceptionTNA","InceptionShares","Fundstatus","Category","InvestmentStyle","Symbol"
10102933,510900,"易方达恒生中国企业交易型开放式指数证券投资基金",101009,"易方达基金管理有限公司",0.6,0.2,"8/9/2012",1616541259,1616541259,"正常","股票型基金","指数型","510900"
10102967,159901,"易方达深证100交易型开放式指数基金",101009,"易方达基金管理有限公司",0.5,0.1,"3/24/2006",5157736818,5157736818,"正常","股票型基金","指数型","159901"
10102995,510130,"易方达上证中盘交易型开放式指数证券投资基金",101009,"易方达基金管理有限公司",0.5,0.1,"3/29/2010",2752478065,2752478065,"正常","股票型基金","指数型","510130"
10103339,161115,"易方达岁丰添利债券型证券投资基金(LOF)",101009,"易方达基金管理有限公司",0.3,0.1,"11/9/2010",2679114944,2679114944,"正常","债券型基金","稳健成长型","161115"
10103446,161118,"易方达中小板指数证券投资基金(LOF)",101009,"易方达基金管理有限公司",1,0.22,"9/20/2012",401094727.7,401094727.7,"正常","股票型基金","指数型","150106"
10103446,161118,"易方达中小板指数证券投资基金(LOF)",101009,"易方达基金管理有限公司",1,0.22,"9/20/2012",401094727.7,401094727.7,"正常","股票型基金","指数型","150107"
10103446,161118,"易方达中小板指数证券投资基金(LOF)",101009,"易方达基金管理有限公司",1,0.22,"9/20/2012",401094727.7,401094727.7,"正常","股票型基金","指数型","161118"
10103462,159915,"易方达创业板交易型开放式指数证券投资基金",101009,"易方达基金管理有限公司",0.5,0.1,"9/20/2011",561684800,561684800,"正常","股票型基金","指数型","159915"
10103716,161117,"易方达永旭添利定期开放债券型证券投资基金",101009,"易方达基金管理有限公司",0.7,0.2,"6/19/2012",1685312169,1685312169,"正常","债券型基金","稳健成长型","161117"
10103748,161116,"易方达黄金主题证券投资基金(LOF)",101009,"易方达基金管理有限公司",1.2,0.2,"5/6/2011",2657035909,2657035909,"正常","FOF","稳健成长型","161116"
10104146,110006,"易方达货币市场基金",101009,"易方达基金管理有限公司",0.33,0.1,"2/2/2005",3622219215,3622219215,"正常","货币型基金","收益型","511800"
10106028,161119,"易方达中债新综合债券指数发起式证券投资基金(LOF)",101009,"易方达基金管理有限公司",0.3,0.1,"11/8/2012",734513862.8,734513862.8,"正常","债券型基金","指数型","161119"
10110233,510310,"易方达沪深300交易型开放式指数发起式证券投资基金",101009,"易方达基金管理有限公司",0.15,0.05,"3/6/2013",1104307415,1104307415,"正常","股票型基金","指数型","510310"
10112050,159001,"易方达保证金收益货币市场基金",101009,"易方达基金管理有限公司",0.2,0.08,"3/29/2013",1078871033,1078871033,"正常","货币型基金","收益型","159001"
10118765,512010,"易方达沪深300医药卫生交易型开放式指数证券投资基金",101009,"易方达基金管理有限公司",0.5,0.1,"9/23/2013",521173734,521173734,"正常","股票型基金","指数型","512010"
10120757,159934,"易方达黄金交易型开放式证券投资基金",101009,"易方达基金管理有限公司",0.5,0.1,"11/29/2013",500416072,500416072,"正常","股票型基金","指数型","159934"
10133267,512070,"易方达沪深300非银行金融交易型开放式指数证券投资基金",101009,"易方达基金管理有限公司",0.5,0.1,"6/26/2014",556159897,556159897,"正常","股票型基金","指数型","512070"
10144157,502048,"易方达上证50指数分级证券投资基金",101009,"易方达基金管理有限公司",1,0.2,"4/15/2015",2474295151,2474295151,"正常","股票型基金","指数型","502048"
10144157,502048,"易方达上证50指数分级证券投资基金",101009,"易方达基金管理有限公司",1,0.2,"4/15/2015",2474295151,2474295151,"正常","股票型基金","指数型","502049"
10144157,502048,"易方达上证50指数分级证券投资基金",101009,"易方达基金管理有限公司",1,0.2,"4/15/2015",2474295151,2474295151,"正常","股票型基金","指数型","502050"
10145553,161122,"易方达生物科技指数分级证券投资基金",101009,"易方达基金管理有限公司",1,0.22,"6/3/2015",682254585.6,682254585.6,"正常","股票型基金","指数型","150257"
10145553,161122,"易方达生物科技指数分级证券投资基金",101009,"易方达基金管理有限公司",1,0.22,"6/3/2015",682254585.6,682254585.6,"正常","股票型基金","指数型","150258"
10145554,161123,"易方达并购重组指数分级证券投资基金",101009,"易方达基金管理有限公司",1,0.22,"6/3/2015",10033974624,10033974624,"正常","股票型基金","指数型","150259"
10145554,161123,"易方达并购重组指数分级证券投资基金",101009,"易方达基金管理有限公司",1,0.22,"6/3/2015",10033974624,10033974624,"正常","股票型基金","指数型","150260"
10145555,161121,"易方达银行指数分级证券投资基金",101009,"易方达基金管理有限公司",1,0.22,"6/3/2015",377856974.1,377856974.1,"正常","股票型基金","指数型","150255"
10145555,161121,"易方达银行指数分级证券投资基金",101009,"易方达基金管理有限公司",1,0.22,"6/3/2015",377856974.1,377856974.1,"正常","股票型基金","指数型","150256"
10146217,502006,"易方达国企改革指数分级证券投资基金",101009,"易方达基金管理有限公司",1,0.22,"6/15/2015",942692418.9,942692418.9,"正常","股票型基金","指数型","502006"
10146217,502006,"易方达国企改革指数分级证券投资基金",101009,"易方达基金管理有限公司",1,0.22,"6/15/2015",942692418.9,942692418.9,"正常","股票型基金","指数型","502007"
10146217,502006,"易方达国企改革指数分级证券投资基金",101009,"易方达基金管理有限公司",1,0.22,"6/15/2015",942692418.9,942692418.9,"正常","股票型基金","指数型","502008"
10146529,502003,"易方达军工指数分级证券投资基金",101009,"易方达基金管理有限公司",1,0.22,"7/8/2015",213341670.9,213341670.9,"正常","股票型基金","指数型","502003"
10146529,502003,"易方达军工指数分级证券投资基金",101009,"易方达基金管理有限公司",1,0.22,"7/8/2015",213341670.9,213341670.9,"正常","股票型基金","指数型","502004"
10146529,502003,"易方达军工指数分级证券投资基金",101009,"易方达基金管理有限公司",1,0.22,"7/8/2015",213341670.9,213341670.9,"正常","股票型基金","指数型","502005"
10146530,502010,"易方达证券公司指数分级证券投资基金",101009,"易方达基金管理有限公司",1,0.22,"7/8/2015",211788445.1,211788445.1,"正常","股票型基金","指数型","502010"
10146530,502010,"易方达证券公司指数分级证券投资基金",101009,"易方达基金管理有限公司",1,0.22,"7/8/2015",211788445.1,211788445.1,"正常","股票型基金","指数型","502011"
10146530,502010,"易方达证券公司指数分级证券投资基金",101009,"易方达基金管理有限公司",1,0.22,"7/8/2015",211788445.1,211788445.1,"正常","股票型基金","指数型","502012"
